Country,Year,Setting,"Population (1000s)
Source: UN Population Division",Improved water,At least basic (improved within 30 mins),"Limited (improved
 > 30 mins)",Unimproved water,Surface water,Piped,Non-piped,Accessible on premises,Available when needed,Free from contamination,"Safely managed 
drinking water"
Burundi, ,Total, ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi, ,Total, ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,year,Total,pop_,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Burundi,2000,Total,  6 470,69.0,49.9,19.1,15.6,15.4,14.4,54.6,4.3,38.7,#N/A,#N/A
Burundi,2001,Total,  6 634,69.8,50.6,19.2,15.4,14.8,15.6,54.2,4.6,39.1,#N/A,#N/A
Burundi,2002,Total,  6 824,70.6,51.3,19.2,15.3,14.1,16.8,53.7,4.8,39.6,#N/A,#N/A
Burundi,2003,Total,  7 043,71.3,52.0,19.3,15.1,13.5,18.1,53.3,5.1,40.0,#N/A,#N/A
Burundi,2004,Total,  7 311,72.1,52.7,19.4,15.0,12.9,19.3,52.8,5.4,40.5,#N/A,#N/A
Burundi,2005,Total,  7 587,72.9,53.4,19.5,14.8,12.3,20.5,52.4,5.6,41.0,#N/A,#N/A
Burundi,2006,Total,  7 866,73.7,54.2,19.5,14.7,11.6,21.8,51.9,5.9,41.4,#N/A,#N/A
Burundi,2007,Total,  8 162,74.5,54.9,19.6,14.5,11.0,23.0,51.5,6.2,41.9,#N/A,#N/A
Burundi,2008,Total,  8 506,75.3,55.6,19.7,14.3,10.4,24.3,51.0,6.5,42.4,#N/A,#N/A
Burundi,2009,Total,  8 948,76.1,56.3,19.7,14.2,9.8,25.5,50.6,6.8,42.8,#N/A,#N/A
Burundi,2010,Total,  9 376,76.8,57.1,19.8,14.0,9.1,26.7,50.1,7.1,43.3,#N/A,#N/A
Burundi,2011,Total,  9 718,77.6,57.8,19.8,13.9,8.5,28.0,49.6,7.5,43.6,#N/A,#N/A
Burundi,2012,Total,  10 071,78.4,58.5,19.9,13.7,7.9,29.2,49.2,7.8,43.9,#N/A,#N/A
Burundi,2013,Total,  10 439,79.2,59.3,19.9,13.5,7.3,30.5,48.7,8.1,44.2,#N/A,#N/A
Burundi,2014,Total,  10 800,80.0,60.0,20.0,13.4,6.6,31.7,48.2,8.5,44.5,#N/A,#N/A
Burundi,2015,Total,  11 048,80.8,60.8,20.0,13.2,6.0,33.0,47.8,8.9,44.7,#N/A,#N/A
Burundi,2016,Total,  11 239,81.5,61.5,20.0,13.1,5.4,34.2,47.3,9.3,45.0,#N/A,#N/A
Burundi,2017,Total,  11 507,82.3,62.3,20.1,12.9,4.8,35.5,46.8,9.6,45.2,#N/A,#N/A
Burundi,2018,Total,  11 859,83.1,63.0,20.1,12.7,4.2,36.8,46.3,10.0,45.4,#N/A,#N/A
Burundi,2019,Total,  12 255,83.9,63.8,20.1,12.5,3.6,38.0,45.9,10.5,45.7,#N/A,#N/A
Burundi,2020,Total,  12 617,84.7,64.4,20.3,11.7,3.6,38.2,46.4,10.7,46.1,#N/A,#N/A
Burundi,2021,Total,  12 965,85.4,65.0,20.4,11.0,3.6,38.5,47.0,11.0,46.5,#N/A,#N/A
Burundi,2022,Total,  13 321,86.2,65.7,20.5,10.2,3.6,38.7,47.5,11.2,46.9,#N/A,#N/A
Burundi,2023,Total,  13 689,86.3,65.8,20.5,10.2,3.6,38.9,47.4,11.4,47.0,#N/A,#N/A
Burundi,2024,Total,  14 048,86.3,65.9,20.4,13.7,#N/A,#N/A,#N/A,11.6,47.0,#N/A,#N/A
Burundi,2025,Total,  14 390,86.4,66.0,20.4,13.6,#N/A,#N/A,#N/A,11.9,47.0,#N/A,#N/A
Burundi,2026,Total,  14 729,86.5,66.2,20.3,13.5,#N/A,#N/A,#N/A,12.1,47.0,#N/A,#N/A
Burundi,2027,Total,  15 077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,2028,Rural,  15 444,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,2029,Rural,  15 816,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,2030,Rural,  16 182,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burundi,2000,Rural,  5 937,67.2,47.0,20.2,16.7,16.1,8.8,58.4,0.9,36.7,#N/A,#N/A
Burundi,2001,Rural,  6 073,68.0,47.6,20.3,16.5,15.5,9.9,58.1,1.0,37.1,#N/A,#N/A
Burundi,2002,Rural,  6 232,68.7,48.3,20.4,16.4,14.9,11.0,57.7,1.1,37.5,#N/A,#N/A
Burundi,2003,Rural,  6 416,69.5,48.9,20.6,16.3,14.2,12.1,57.4,1.2,37.9,#N/A,#N/A
Burundi,2004,Rural,  6 643,70.3,49.6,20.7,16.1,13.6,13.2,57.0,1.3,38.3,#N/A,#N/A
Burundi,2005,Rural,  6 876,71.0,50.2,20.8,16.0,13.0,14.3,56.7,1.4,38.8,#N/A,#N/A
Burundi,2006,Rural,  7 109,71.8,50.9,20.9,15.9,12.3,15.4,56.3,1.5,39.2,#N/A,#N/A
